"Name","birth_year","death_year","first_year","last_year","religion_id"
George Sturge,NA,NA,1867,1867,1
H J Sturge,NA,NA,1865,1867,1
Samuel Sturge,NA,NA,1851,1855,1
Thomas M Sturge,NA,NA,1838,1866,1
Walter Sturge,NA,NA,1860,1867,1
Jemima Swan,NA,NA,1862,1867,1
William Tanner,NA,NA,1860,1865,1
W Tatum,NA,NA,1860,1862,1
Edward Thomas,NA,NA,1851,1854,1
George Thomas,NA,NA,1851,1867,1
Samuel Thompson,NA,NA,1839,1840,1
Fielden Thorpe,NA,NA,1862,1867,1
E O Tindale,NA,NA,1860,1860,1
Robert Tindall,NA,NA,1839,1839,1
Joshua Treffry,NA,NA,1860,1867,1
Nathaniel Tregellis,NA,NA,1859,1867,1
Elizabeth Tuckett,NA,NA,1840,1840,1
Francis Tuckett,NA,NA,1840,1854,1
P Debell Tuckett,NA,NA,1839,1866,1
D Tuke,NA,NA,1861,1862,1
J H Tuke,NA,NA,1862,1862,1
Samuel Tuke,NA,NA,1840,1860,1
Ann Tweedy,NA,NA,1861,1867,1
R Tweedy,NA,NA,1860,1860,1
William Tweedy,NA,NA,1838,1854,1
Richard Veale,NA,NA,1852,1867,1
William Veale,NA,NA,1864,1864,1
John Wadge,NA,NA,1838,1838,1
F J Walker,NA,NA,1860,1860,1
Marriage Wallis,NA,NA,1861,1866,1
Charles B Warner,NA,NA,1851,1851,1
Septimus Warner,NA,NA,1862,1862,1
Lucy Westcombe,NA,NA,1865,1867,1
Thomas Westcombe,NA,NA,1860,1867,1
Benjamin Wheeler,NA,NA,1851,1856,1
Frederick Wheeler,NA,NA,1851,1867,1
Samuel Wheeler,NA,NA,1852,1854,1
John Whiting,NA,NA,1862,1867,1
John Wiblin,NA,NA,1861,1867,1
Caleb Williams,NA,NA,1854,1867,1
John E Wilson,NA,NA,1860,1867,1
Joshua Wilson,NA,NA,1860,1860,1
F Woodhead,NA,NA,1861,1862,1
W Woolston,NA,NA,1861,1861,1
Francis Wright,NA,NA,1838,1838,1
S W Wright,NA,NA,1861,1861,1
Samuel C Baker,1821,1893,1839,1871,NA
John Bell (2),1811,1895,1838,1855,NA
John Brown,1801,1879,1839,1839,NA
Thomas junior Christy,NA,NA,1839,1839,NA
Richard King,1811,1876,1838,1871,NA
John James Sturz,1800,1877,1838,1838,NA
W   Martin Wood,NA,NA,1864,1864,NA
Arthur Trevelyan,NA,1880,1864,1866,NA
x Tonna,1812,1857,1839,1840,NA
Alfred Robert Thompson,NA,NA,1863,1863,NA
x Stuart,NA,NA,1839,1839,NA
William Parker Snow,1817,1895,1860,1860,NA
Andrew Smith,1797,1872,1839,1851,NA
William Wardrop Shaw,1816,1895,1839,1851,NA
Robert  Herman Schomburgk,1804,1865,1847,1851,NA
